学工号,姓名,交易额,交易时间,商户名称
2021****86,赖**,8.9,2023/4/25 18:02,淘乐学苑水果
2021****86,赖**,11.84,2023/4/25 17:35,美食林小猪憨尼麻辣烫
2021****86,赖**,13,2023/4/25 11:46,美食林川蜀源烤鱼
2021****86,赖**,2.65,2023/4/25 7:49,学苑食堂副食一组
2021****86,赖**,18.4,2023/4/24 17:57,紫丁香餐吧机器人收银组
2021****86,赖**,18.4,2023/4/24 11:27,紫丁香餐吧机器人收银组
2021****86,赖**,2.25,2023/4/24 7:43,学苑食堂副食一组
2021****86,赖**,8.9,2023/4/23 17:52,淘乐学苑水果
2021****86,赖**,16.7,2023/4/23 17:36,回味斋一餐厅副食一组
2021****86,赖**,20.4,2023/4/23 11:42,紫丁香餐吧机器人收银组
2021****86,赖**,5.1,2023/4/23 8:59,百味佳副食一组
2021****86,赖**,9.3,2023/4/22 17:58,淘乐学苑水果
2021****86,赖**,16.4,2023/4/22 17:40,紫丁香餐吧机器人收银组
2021****86,赖**,15.6,2023/4/22 11:35,紫丁香餐吧机器人收银组
2021****86,赖**,2.1,2023/4/22 9:13,百味佳副食一组
2021****86,赖**,9.7,2023/4/21 17:50,淘乐学苑水果
2021****86,赖**,10,2023/4/21 17:33,学苑食堂真牛铁板
2021****86,赖**,17.4,2023/4/21 11:51,紫丁香餐吧机器人收银组
2021****86,赖**,2.6,2023/4/21 7:45,学苑食堂副食一组
2021****86,赖**,8.6,2023/4/20 18:21,淘乐学苑水果
2021****86,赖**,22.4,2023/4/20 18:03,紫丁香餐吧机器人收银组
2021****86,赖**,13,2023/4/20 11:29,美食林蜀香麻辣烫(川香麻辣烫)
2021****86,赖**,3.5,2023/4/20 7:43,百味佳副食一组
2021****86,赖**,9.7,2023/4/19 17:48,淘乐学苑水果
2021****86,赖**,10,2023/4/19 17:33,学苑食堂真牛铁板
2021****86,赖**,20.4,2023/4/19 11:16,紫丁香餐吧机器人收银组
2021****86,赖**,5.1,2023/4/19 7:32,百味佳副食一组
2021****86,赖**,12,2023/4/18 11:42,美食林川蜀源烤鱼
2021****86,赖**,1.65,2023/4/18 7:42,学苑食堂副食一组
2021****86,赖**,9,2023/4/17 18:12,淘乐学苑水果
2021****86,赖**,13,2023/4/17 17:49,阳光广式猪脚饭
2021****86,赖**,16.6,2023/4/17 11:57,紫丁香餐吧机器人收银组
2021****86,赖**,1.65,2023/4/17 7:45,学苑食堂副食一组
2021****86,赖**,12,2023/4/16 18:08,学苑食堂香恋香拌砂锅
2021****86,赖**,9.4,2023/4/16 18:07,淘乐学苑水果
2021****86,赖**,18.6,2023/4/16 11:54,紫丁香餐吧机器人收银组
2021****86,赖**,2.95,2023/4/16 9:08,百味佳副食一组
2021****86,赖**,10.2,2023/4/15 17:56,淘乐学苑水果
2021****86,赖**,10,2023/4/15 17:40,民族餐厅山西饸饹面
2021****86,赖**,5,2023/4/15 8:18,百味佳副食一组
2021****86,赖**,10.2,2023/4/14 17:42,淘乐学苑水果
2021****86,赖**,2,2023/4/14 17:30,学苑食堂重庆小面
2021****86,赖**,8,2023/4/14 17:29,学苑食堂重庆小面
2021****86,赖**,17.4,2023/4/14 11:52,紫丁香餐吧机器人收银组
2021****86,赖**,1.25,2023/4/14 7:45,学苑食堂副食一组
2021****86,赖**,6.8,2023/4/13 17:22,淘乐学苑水果
2021****86,赖**,14.6,2023/4/13 17:08,紫丁香餐吧机器人收银组
2021****86,赖**,11,2023/4/13 11:31,美食林阿咪酱骨扒肉
2021****86,赖**,5.1,2023/4/13 7:42,百味佳副食一组
2021****86,赖**,20.4,2023/4/12 17:36,紫丁香餐吧机器人收银组
2021****86,赖**,9.2,2023/4/12 11:44,百味佳副食一组
2021****86,赖**,3.6,2023/4/12 8:56,百味佳副食一组
2021****86,赖**,17.4,2023/4/11 17:49,紫丁香餐吧机器人收银组
2021****86,赖**,13,2023/4/11 11:42,美食林川蜀源烤鱼
2021****86,赖**,1.83,2023/4/11 7:38,学苑食堂副食一组
2021****86,赖**,10,2023/4/10 18:06,学院食堂陕西名小吃
2021****86,赖**,8,2023/4/10 18:03,淘乐学苑水果
2021****86,赖**,12,2023/4/10 11:42,美食林阿咪酱骨扒肉
2021****86,赖**,3.5,2023/4/10 9:07,百味佳副食一组
2021****86,赖**,11.45,2023/4/9 17:39,学苑食堂副食一组
2021****86,赖**,3.5,2023/4/9 9:04,百味佳副食一组
2021****86,赖**,12,2023/4/8 18:34,学苑食堂香恋香拌砂锅
2021****86,赖**,18,2023/4/8 11:47,学苑食堂副食二组
2021****86,赖**,3,2023/4/8 9:17,百味佳副食一组
2021****86,赖**,7.3,2023/4/7 17:46,淘乐学苑水果
2021****86,赖**,10,2023/4/7 17:31,美食林阿咪酱骨扒肉
2021****86,赖**,14,2023/4/7 11:49,学苑食堂副食二组
2021****86,赖**,1.65,2023/4/7 7:46,学苑食堂副食一组
2021****86,赖**,6,2023/4/6 17:56,淘乐学苑水果
2021****86,赖**,13.73,2023/4/6 17:35,阳光副食二组
2021****86,赖**,11,2023/4/6 11:32,美食林阿咪酱骨扒肉
2021****86,赖**,5.25,2023/4/6 7:45,学苑食堂副食一组
2021****86,赖**,0.1,2023/4/5 17:53,淘乐学苑水果
2021****86,赖**,5.8,2023/4/5 17:53,淘乐学苑水果
2021****86,赖**,13,2023/4/5 17:25,美食林老上客砂锅
2021****86,赖**,10,2023/4/5 11:40,学苑食堂真牛铁板
2021****86,赖**,12,2023/4/4 11:43,美食林川蜀源烤鱼
2021****86,赖**,3.6,2023/4/4 7:41,百味佳副食一组
2021****86,赖**,12.2,2023/4/3 11:46,百味佳副食一组
2021****86,赖**,3.5,2023/4/3 9:21,百味佳副食一组
2021****86,赖**,6,2023/4/2 18:12,淘乐学苑水果
2021****86,赖**,12,2023/4/2 18:09,学苑食堂香恋香拌砂锅
2021****86,赖**,11,2023/4/2 11:48,学苑食堂包子
2021****86,赖**,3.5,2023/4/2 8:41,百味佳副食一组
2021****86,赖**,8,2023/4/1 11:56,淘乐学苑水果
2021****86,赖**,12,2023/4/1 11:34,美食林90后串炒饭
2021****86,赖**,5,2023/4/1 7:58,百味佳副食一组
2021****86,赖**,6,2023/3/31 17:55,淘乐学苑水果
2021****86,赖**,13.58,2023/3/31 17:38,阳光副食二组
2021****86,赖**,23,2023/3/31 11:26,民族餐厅铁板料理
2021****86,赖**,5.1,2023/3/31 7:44,百味佳副食一组
2021****86,赖**,6.9,2023/3/30 17:51,淘乐学苑水果
2021****86,赖**,13,2023/3/30 17:35,美食林美美卤肉饭
2021****86,赖**,11.28,2023/3/30 11:45,阳光副食二组
2021****86,赖**,3.9,2023/3/30 7:31,百味佳副食一组
2021****86,赖**,13,2023/3/29 17:35,美食林美美卤肉饭
2021****86,赖**,12,2023/3/29 11:31,学苑食堂真牛铁板
2021****86,赖**,0.95,2023/3/29 9:13,百味佳副食一组
2021****86,赖**,6.9,2023/3/28 18:02,淘乐学苑水果
2021****86,赖**,15.1,2023/3/28 17:38,美食林小猪憨尼麻辣烫
2021****86,赖**,12,2023/3/28 11:51,美食林川蜀源烤鱼
2021****86,赖**,7.5,2023/3/27 17:47,淘乐学苑水果
2021****86,赖**,11,2023/3/27 17:28,美食林90后串炒饭
2021****86,赖**,12,2023/3/27 12:03,美食林川蜀源烤鱼
2021****86,赖**,4.35,2023/3/27 9:11,百味佳副食一组
