学工号,姓名,交易额,交易时间,商户名称
2021****00,卢**,15,2023/4/25 17:24,学苑食堂香恋香拌砂锅
2021****00,卢**,5.1,2023/4/25 7:52,学苑食堂副食二组
2021****00,卢**,6,2023/4/24 17:35,紫丁香餐吧主食一组
2021****00,卢**,17.4,2023/4/24 17:31,紫丁香餐吧机器人收银组
2021****00,卢**,17,2023/4/24 11:44,学苑食堂香恋香拌砂锅
2021****00,卢**,1,2023/4/23 18:08,学苑食堂主食三组（面条）
2021****00,卢**,14,2023/4/23 18:02,学院食堂陕西名小吃
2021****00,卢**,15.5,2023/4/23 15:36,中央红-水果
2021****00,卢**,13.8,2023/4/23 11:56,阳光小是小简餐
2021****00,卢**,6,2023/4/21 18:16,学院食堂陕西名小吃
2021****00,卢**,14,2023/4/21 18:15,学院食堂陕西名小吃
2021****00,卢**,14.8,2023/4/21 11:47,阳光小是小简餐
2021****00,卢**,4.6,2023/4/21 7:47,学苑食堂副食二组
2021****00,卢**,3,2023/4/20 17:27,美芝林快客
2021****00,卢**,16,2023/4/20 17:26,美食林肠粉
2021****00,卢**,12,2023/4/20 17:24,美食林阿咪酱骨扒肉
2021****00,卢**,20,2023/4/20 11:39,学院食堂陕西名小吃
2021****00,卢**,14.64,2023/4/19 17:26,阳光副食二组
2021****00,卢**,17,2023/4/19 11:48,学苑食堂香恋香拌砂锅
2021****00,卢**,10.8,2023/4/18 17:22,阳光小是小简餐
2021****00,卢**,6.7,2023/4/17 17:43,中央红-水果
2021****00,卢**,2,2023/4/17 17:24,学苑食堂霞姐饮品店
2021****00,卢**,17,2023/4/17 17:09,学苑食堂香恋香拌砂锅
2021****00,卢**,16.4,2023/4/17 11:58,紫丁香餐吧机器人收银组
2021****00,卢**,11.5,2023/4/17 9:52,美食林东农豆坊
2021****00,卢**,1,2023/4/16 12:43,民族餐厅山西饸饹面
2021****00,卢**,8,2023/4/16 12:42,民族餐厅山西饸饹面
2021****00,卢**,1,2023/4/15 12:23,美芝林快客
2021****00,卢**,11.84,2023/4/15 12:22,美食林小猪憨尼麻辣烫
2021****00,卢**,7.7,2023/4/15 9:54,学苑食堂包子
2021****00,卢**,11,2023/4/14 18:13,美食林老上客砂锅
2021****00,卢**,7,2023/4/14 12:08,中央红-水果
2021****00,卢**,11.16,2023/4/14 11:46,学苑食堂副食二组
2021****00,卢**,4.6,2023/4/14 7:56,学苑食堂副食二组
2021****00,卢**,1,2023/4/13 17:27,学苑食堂副食一组
2021****00,卢**,1,2023/4/13 17:25,学苑食堂主食三组（面条）
2021****00,卢**,10,2023/4/13 17:24,学苑食堂主食三组（面条）
2021****00,卢**,32,2023/4/13 11:49,美食林肠粉
2021****00,卢**,4.6,2023/4/13 7:54,学苑食堂副食二组
2021****00,卢**,6.8,2023/4/12 18:07,中央红-水果
2021****00,卢**,12.43,2023/4/12 17:23,阳光副食二组
2021****00,卢**,4.6,2023/4/12 8:03,学苑食堂副食二组
2021****00,卢**,16,2023/4/11 11:49,美食林肠粉
2021****00,卢**,14.4,2023/4/10 17:23,紫丁香餐吧副食一组（中西套餐）
2021****00,卢**,7.5,2023/4/9 17:46,中央红-水果
2021****00,卢**,0.4,2023/4/9 17:20,学苑食堂副食二组
2021****00,卢**,14.21,2023/4/9 17:14,学苑食堂副食一组
2021****00,卢**,11.8,2023/4/9 12:02,阳光小是小简餐
2021****00,卢**,14.8,2023/4/8 11:47,阳光小是小简餐
2021****00,卢**,20,2023/4/8 10:22,深澜网费对接
2021****00,卢**,11,2023/4/7 18:00,美食林老上客砂锅
2021****00,卢**,2,2023/4/7 11:58,学苑食堂霞姐饮品店
2021****00,卢**,14,2023/4/7 11:36,学院食堂陕西名小吃
2021****00,卢**,14.8,2023/4/6 11:51,阳光小是小简餐
2021****00,卢**,4.6,2023/4/6 7:53,学苑食堂副食二组
2021****00,卢**,6,2023/4/5 11:13,淘乐学苑水果
2021****00,卢**,14,2023/4/5 10:47,美食林那小味面馆
2021****00,卢**,10,2023/4/4 11:53,学苑食堂主食三组（面条）
2021****00,卢**,9.8,2023/4/3 22:01,淘乐水果捞店
2021****00,卢**,19.54,2023/4/3 17:22,美食林小猪憨尼麻辣烫
2021****00,卢**,26,2023/4/3 11:50,美食林阿咪酱骨扒肉
2021****00,卢**,5.7,2023/4/3 7:58,学苑食堂副食二组
2021****00,卢**,12,2023/4/2 11:20,民族餐厅金家店
2021****00,卢**,10,2023/4/1 12:38,学院食堂陕西名小吃
2021****00,卢**,32,2023/3/31 11:40,美食林肠粉
2021****00,卢**,4.6,2023/3/31 7:54,学苑食堂副食二组
2021****00,卢**,18.4,2023/3/30 17:51,紫丁香餐吧机器人收银组
2021****00,卢**,16,2023/3/30 11:47,美食林肠粉
2021****00,卢**,4.6,2023/3/30 7:48,学苑食堂副食二组
2021****00,卢**,15.22,2023/3/29 17:22,阳光副食二组
2021****00,卢**,6.9,2023/3/28 18:04,淘乐学苑水果
2021****00,卢**,13.8,2023/3/28 17:34,阳光小是小简餐
2021****00,卢**,17.02,2023/3/27 17:25,美食林小猪憨尼麻辣烫
2021****00,卢**,16.13,2023/3/27 17:25,美食林小猪憨尼麻辣烫
2021****00,卢**,3.5,2023/3/27 15:48,美食林东农豆坊
2021****00,卢**,3.5,2023/3/27 15:42,美食林东农豆坊
2021****00,卢**,16,2023/3/26 12:16,美食林肠粉
2021****00,卢**,14,2023/3/24 19:18,民族餐厅山西饸饹面
2021****00,卢**,23,2023/3/24 11:42,美食林老上客砂锅
2021****00,卢**,6.1,2023/3/24 7:50,学苑食堂副食一组
2021****00,卢**,0.1,2023/3/23 12:17,学苑食堂副食三组
2021****00,卢**,14,2023/3/23 11:48,学苑食堂副食三组
