学工号,姓名,交易额,商户名称,交易日期,交易时间,星期
2021****86,赖**,11.84,美食林小猪憨尼麻辣烫,2023/4/25,17:35,星期二
2021****86,赖**,13.0,美食林川蜀源烤鱼,2023/4/25,11:46,星期二
2021****86,赖**,2.65,学苑食堂副食一组,2023/4/25,7:49,星期二
2021****86,赖**,18.4,紫丁香餐吧机器人收银组,2023/4/24,17:57,星期一
2021****86,赖**,18.4,紫丁香餐吧机器人收银组,2023/4/24,11:27,星期一
2021****86,赖**,2.25,学苑食堂副食一组,2023/4/24,7:43,星期一
2021****86,赖**,16.7,回味斋一餐厅副食一组,2023/4/23,17:36,星期日
2021****86,赖**,20.4,紫丁香餐吧机器人收银组,2023/4/23,11:42,星期日
2021****86,赖**,5.1,百味佳副食一组,2023/4/23,8:59,星期日
2021****86,赖**,16.4,紫丁香餐吧机器人收银组,2023/4/22,17:40,星期六
2021****86,赖**,15.6,紫丁香餐吧机器人收银组,2023/4/22,11:35,星期六
2021****86,赖**,2.1,百味佳副食一组,2023/4/22,9:13,星期六
2021****86,赖**,10.0,学苑食堂真牛铁板,2023/4/21,17:33,星期五
2021****86,赖**,17.4,紫丁香餐吧机器人收银组,2023/4/21,11:51,星期五
2021****86,赖**,2.6,学苑食堂副食一组,2023/4/21,7:45,星期五
2021****86,赖**,22.4,紫丁香餐吧机器人收银组,2023/4/20,18:03,星期四
2021****86,赖**,13.0,美食林蜀香麻辣烫(川香麻辣烫),2023/4/20,11:29,星期四
2021****86,赖**,3.5,百味佳副食一组,2023/4/20,7:43,星期四
2021****86,赖**,10.0,学苑食堂真牛铁板,2023/4/19,17:33,星期三
2021****86,赖**,20.4,紫丁香餐吧机器人收银组,2023/4/19,11:16,星期三
2021****86,赖**,5.1,百味佳副食一组,2023/4/19,7:32,星期三
2021****86,赖**,12.0,美食林川蜀源烤鱼,2023/4/18,11:42,星期二
2021****86,赖**,1.65,学苑食堂副食一组,2023/4/18,7:42,星期二
2021****86,赖**,13.0,阳光广式猪脚饭,2023/4/17,17:49,星期一
2021****86,赖**,16.6,紫丁香餐吧机器人收银组,2023/4/17,11:57,星期一
2021****86,赖**,1.65,学苑食堂副食一组,2023/4/17,7:45,星期一
2021****86,赖**,12.0,学苑食堂香恋香拌砂锅,2023/4/16,18:08,星期日
2021****86,赖**,18.6,紫丁香餐吧机器人收银组,2023/4/16,11:54,星期日
2021****86,赖**,2.95,百味佳副食一组,2023/4/16,9:08,星期日
2021****86,赖**,10.0,民族餐厅山西饸饹面,2023/4/15,17:40,星期六
2021****86,赖**,5.0,百味佳副食一组,2023/4/15,8:18,星期六
2021****86,赖**,2.0,学苑食堂重庆小面,2023/4/14,17:30,星期五
2021****86,赖**,8.0,学苑食堂重庆小面,2023/4/14,17:29,星期五
2021****86,赖**,17.4,紫丁香餐吧机器人收银组,2023/4/14,11:52,星期五
2021****86,赖**,1.25,学苑食堂副食一组,2023/4/14,7:45,星期五
2021****86,赖**,14.6,紫丁香餐吧机器人收银组,2023/4/13,17:08,星期四
2021****86,赖**,11.0,美食林阿咪酱骨扒肉,2023/4/13,11:31,星期四
2021****86,赖**,5.1,百味佳副食一组,2023/4/13,7:42,星期四
2021****86,赖**,20.4,紫丁香餐吧机器人收银组,2023/4/12,17:36,星期三
2021****86,赖**,9.2,百味佳副食一组,2023/4/12,11:44,星期三
2021****86,赖**,3.6,百味佳副食一组,2023/4/12,8:56,星期三
2021****86,赖**,17.4,紫丁香餐吧机器人收银组,2023/4/11,17:49,星期二
2021****86,赖**,13.0,美食林川蜀源烤鱼,2023/4/11,11:42,星期二
2021****86,赖**,1.83,学苑食堂副食一组,2023/4/11,7:38,星期二
2021****86,赖**,10.0,学院食堂陕西名小吃,2023/4/10,18:06,星期一
2021****86,赖**,12.0,美食林阿咪酱骨扒肉,2023/4/10,11:42,星期一
2021****86,赖**,3.5,百味佳副食一组,2023/4/10,9:07,星期一
2021****86,赖**,11.45,学苑食堂副食一组,2023/4/9,17:39,星期日
2021****86,赖**,3.5,百味佳副食一组,2023/4/9,9:04,星期日
2021****86,赖**,12.0,学苑食堂香恋香拌砂锅,2023/4/8,18:34,星期六
2021****86,赖**,18.0,学苑食堂副食二组,2023/4/8,11:47,星期六
2021****86,赖**,3.0,百味佳副食一组,2023/4/8,9:17,星期六
2021****86,赖**,10.0,美食林阿咪酱骨扒肉,2023/4/7,17:31,星期五
2021****86,赖**,14.0,学苑食堂副食二组,2023/4/7,11:49,星期五
2021****86,赖**,1.65,学苑食堂副食一组,2023/4/7,7:46,星期五
2021****86,赖**,13.73,阳光副食二组,2023/4/6,17:35,星期四
2021****86,赖**,11.0,美食林阿咪酱骨扒肉,2023/4/6,11:32,星期四
2021****86,赖**,5.25,学苑食堂副食一组,2023/4/6,7:45,星期四
2021****86,赖**,13.0,美食林老上客砂锅,2023/4/5,17:25,星期三
2021****86,赖**,10.0,学苑食堂真牛铁板,2023/4/5,11:40,星期三
2021****86,赖**,12.0,美食林川蜀源烤鱼,2023/4/4,11:43,星期二
2021****86,赖**,3.6,百味佳副食一组,2023/4/4,7:41,星期二
2021****86,赖**,12.2,百味佳副食一组,2023/4/3,11:46,星期一
2021****86,赖**,3.5,百味佳副食一组,2023/4/3,9:21,星期一
2021****86,赖**,12.0,学苑食堂香恋香拌砂锅,2023/4/2,18:09,星期日
2021****86,赖**,11.0,学苑食堂包子,2023/4/2,11:48,星期日
2021****86,赖**,3.5,百味佳副食一组,2023/4/2,8:41,星期日
2021****86,赖**,12.0,美食林90后串炒饭,2023/4/1,11:34,星期六
2021****86,赖**,5.0,百味佳副食一组,2023/4/1,7:58,星期六
2021****86,赖**,13.58,阳光副食二组,2023/3/31,17:38,星期五
2021****86,赖**,23.0,民族餐厅铁板料理,2023/3/31,11:26,星期五
2021****86,赖**,5.1,百味佳副食一组,2023/3/31,7:44,星期五
2021****86,赖**,13.0,美食林美美卤肉饭,2023/3/30,17:35,星期四
2021****86,赖**,11.28,阳光副食二组,2023/3/30,11:45,星期四
2021****86,赖**,3.9,百味佳副食一组,2023/3/30,7:31,星期四
2021****86,赖**,13.0,美食林美美卤肉饭,2023/3/29,17:35,星期三
2021****86,赖**,12.0,学苑食堂真牛铁板,2023/3/29,11:31,星期三
2021****86,赖**,0.95,百味佳副食一组,2023/3/29,9:13,星期三
2021****86,赖**,15.1,美食林小猪憨尼麻辣烫,2023/3/28,17:38,星期二
2021****86,赖**,12.0,美食林川蜀源烤鱼,2023/3/28,11:51,星期二
2021****86,赖**,11.0,美食林90后串炒饭,2023/3/27,17:28,星期一
2021****86,赖**,12.0,美食林川蜀源烤鱼,2023/3/27,12:03,星期一
2021****86,赖**,4.35,百味佳副食一组,2023/3/27,9:11,星期一
2021****86,赖**,12.0,一区饺子园主食一组,2023/3/26,17:34,星期日
2021****86,赖**,12.0,学苑食堂香恋香拌砂锅,2023/3/26,12:30,星期日
2021****86,赖**,5.0,百味佳副食一组,2023/3/26,8:43,星期日
2021****86,赖**,16.0,民族餐厅铁板料理,2023/3/25,17:49,星期六
2021****86,赖**,12.0,美食林那小味面馆,2023/3/25,11:44,星期六
2021****86,赖**,3.0,百味佳副食一组,2023/3/25,9:01,星期六
2021****86,赖**,11.54,美食林小猪憨尼麻辣烫,2023/3/24,17:33,星期五
2021****86,赖**,10.0,民族餐厅山西饸饹面,2023/3/24,11:52,星期五
2021****86,赖**,0.7,百味佳副食一组,2023/3/22,17:37,星期三
2021****86,赖**,14.0,阳光广式猪脚饭,2023/3/21,17:35,星期二
2021****86,赖**,12.0,美食林川蜀源烤鱼,2023/3/21,11:54,星期二
2021****86,赖**,5.1,百味佳副食一组,2023/3/21,7:41,星期二
2021****86,赖**,12.0,美食林川蜀源烤鱼,2023/3/20,17:32,星期一
2021****86,赖**,16.0,阳光广式猪脚饭,2023/3/20,11:27,星期一
2021****86,赖**,3.5,百味佳副食一组,2023/3/20,8:14,星期一
2021****86,赖**,12.0,美食林90后串炒饭,2023/3/19,18:05,星期日
2021****86,赖**,13.0,阳光广式猪脚饭,2023/3/19,11:45,星期日
2021****86,赖**,5.0,百味佳副食一组,2023/3/19,8:24,星期日
2021****86,赖**,13.0,美食林老上客砂锅,2023/3/18,17:46,星期六
